American Primeval,Explosions In The Sky
On Call,Atli Örvarsson
Lockerbie - The Search for Truth,Rupert Gregson-Williams
Den of Thieves 2: Pantera,Kevin Matley
A.C.A.B.,Mokadelic
The Rig: Season 2,Blanck Mass
William Tell,Steven Price
For Honor: Forged in War,Luc St-Pierre
See Her Again,Ding Ke
Sebastian,Ilari Heinilä
Star Wars: Skeleton Crew,Mick Giacchino
Beyond Words: Verses of Change,Sid de la Cruz
Vanished Out of Sight,Lily Marlovits & Saun Santipreecha
XO, Kitty: Season 2,Jina Hyojin An & Shirley Song
Regreso a Las Sabinas,Arnau Bataller
Ad Vitam,Amine Bouhafa
What If...?: Season 3,Laura Karpman & Nora Kroll-Rosenbaum
Goosebumps: The Vanishing,The Newton Brothers
La Parra,Jonay Armas
Space Ranger Origin,Simone Cilio
Back In Action,Christopher Lennertz
Seeking Haven for Mr Rambo,Ahmad Mostafa Zaky
Flight Risk,Antonio Pinto
Un monde violent,Gaspar Claus
Unstoppable,Alexandre Desplat
Wolf Man,Benjamin Wallfisch
Henry Danger: The Movie,Paul Edward-Francis
Par Amour,Rob
Whiskey on the Rocks,Jonas Wikstrand
Into The Deep,Andy Fosberry
Mo: Season 2,Common, Karriem Riggins & Patrick Warren
The Devil and the Daylong Brothers,Nicholas Kirk
Mr Hyde: The Untold Story,Corinna Jane & Luke Wood
Presence,Zack Ryan
Sunfish (and Other Stories on Green Lake),Brian Steckler
Harbin,Cho Young Wook
Hiver à Sokcho,Delphine Malaussena
Toutes pour une,Amine Bouhafa
Companion,Hrishikesh Hirway
Out There,Patrick Jonsson
La pie voleuse,Michel Petrossian
Brûle le sang,Guillaume Ferran
M - Son of the Century,Tom Rowlands
The Yorkie Werewolf,Marcus Lawson
Black Cab,Gazelle Twin
Bugshell,Milo Paulus
